"tag","stem","species","year_cored","dbh_previous_mm","status_when_cored","height_of_core","cardinal_direction_core","date_cored","collected_by","collection_notes"
52171,1,"quve",2023,700,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
52239,1,"qual",2023,709,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
72242,1,"quru",2023,714,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
72385,1,"quve",2023,818,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
72396,1,"quru",2023,834,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
92202,1,"quru",2023,730,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
102144,1,"quve",2023,545,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
102177,1,"qual",2023,720,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
102271,1,"qual",2023,750,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
111314,1,"quru",2023,742,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
121319,1,"quve",2023,572,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
132390,1,"qual",2023,649,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
161535,1,"quru",2023,614,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
162119,1,"qual",2023,542,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
162446,1,"quru",2023,805,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
182648,1,"quru",2023,721,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
201405,1,"quve",2023,670,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
202050,1,"qual",2023,494,"A",NA,NA,"6/14/2023","Cameron Dow/Steve Kannenberg",NA
