tag,stem,species,year_cored,dbh_previous_mm,status_when_cored,height_of_core,cardinal_direction_core,date_cored,collected_by,collection_notes
100716,1,quve,2023,723,A,NA,NA,9/5/2023,Cameron Dow/Rachel Hoffman,NA
112311,1,quve,2023,478,A,NA,NA,9/5/2023,Cameron Dow/Rachel Hoffman,NA
112469,1,quve,2023,608,DS,NA,NA,9/5/2023,Cameron Dow/Rachel Hoffman,NA
140930,1,quve,2023,561,A,NA,NA,9/5/2023,Cameron Dow/Rachel Hoffman,NA
142705,1,quve,2023,432,A,NA,NA,9/5/2023,Cameron Dow/Rachel Hoffman,NA
152004,1,quve,2023,464,A,NA,NA,9/5/2023,Cameron Dow/Rachel Hoffman,NA
152423,1,quve,2023,355,A,NA,NA,9/5/2023,Cameron Dow/Rachel Hoffman,NA
152490,1,quve,2023,575,A,NA,NA,9/5/2023,Cameron Dow/Rachel Hoffman,NA
22384,1,quve,2021,509,DS,NA,NA,11/10/2021,,NA
40533,1,quve,2019,520,DS,NA,NA,9/26/2019,,NA
50386,1,quve,2021,563,DS,NA,NA,10/16/2021,,NA
72202,1,quve,2021,574,DS,NA,NA,11/10/2021,,NA
92487,1,quve,2021,683,DS,NA,NA,9/11/2021,,NA
102247,1,quve,2020,778,DS,NA,NA,10/27/2020,,NA
130991,1,quve,2021,739,DS,NA,NA,10/16/2021,,NA
140733,1,quve,2021,705,DS,NA,NA,10/16/2021,,NA
152499,1,quve,NA,464,DS,NA,NA,27-Aug,,NA
160795,1,quve,2021,534,DS,NA,NA,10/16/2021,,NA
192222,1,quve,2020,115,DS,NA,NA,8/27/2020,,NA
50386,2,quve,2021,547,DS,NA,NA,10/16/2021,,NA
